Municipio,Circunscripcion,Recinto,Sector,Colegios
SANTO DOMINGO ESTE,1,CENTRO EDUCATIVO JIMENEZ DE LOS SANTOS,ISABELITA,1699 1734 1770 1868 1918 2031 2084
SANTO DOMINGO ESTE,1,CLUB DEPORTIVO Y CULTURAL OZAMA (MERLIN),OZAMA,0971 0971A 0972 0972A 1714 1869 2038 2183
SANTO DOMINGO ESTE,3,ESCUELA BASICA ENRIQUILLO,HAINAMOSA,1701 1736 1796 1835 1871 1978 2135 2154 2222 2291 2359
SANTO DOMINGO ESTE,3,CENTRO EDUCATIVO INVI RONDA,INVIVIENDA,1688 1737 1772 1872 1920 2041 2223 2292
SANTO DOMINGO ESTE,2,COLEGIO LA PROBIDAD,JARDINES DEL OZAMA,1689 1773 2010 2256
SANTO DOMINGO ESTE,2,CENTRO DE EDUC. ESPECIAL SAN LORENZO DE LOS MINA,KATANGA LOS MINA,0932 0932A 0932B 0932C 0932D 1715 1873 2077 2143 2274
SANTO DOMINGO ESTE,2,ESCUELA BASICA PUEBLO NUEVO,LA MILAGROSA,1691 1716 1874 1993 2009
SANTO DOMINGO ESTE,3,ESCUELA BASICA LOS ALIFONZOS,LOS ALIFONZOS,1692 1995
SANTO DOMINGO ESTE,3,CENTRO PARA LA EDUCACION DOMINICA,LAS CANCELAS LAS AMERICAS,1719 1775 1958 2008 2111 2293
SANTO DOMINGO ESTE,3,LICEO SAN JOSE,LOS FRAILES II,1720 1738 1776 1836 1876 2011 2116 2155 2224 2319 2340
SANTO DOMINGO ESTE,1,ESCUELA PRIMARIA CELINA PELLIER,LOS MAMEYES,1693 1739 1762 1807 1837 1877 1922 1959 1980 2067 2156 2201 2257
SANTO DOMINGO ESTE,2,LICEO POLITECNICO FABIO AMABLE MOTA,LOS MINA VIEJO,0881 0881A 0882 0882A 1694 1777 1923 1987
SANTO DOMINGO ESTE,3,COLEGIO INSTITUTO TAIWAN,LOS SOLARES EL ALMIRANTE,1721 1740 1778 1878 1924 2007 2120 2157 2225 2294
SANTO DOMINGO ESTE,1,CENTRO EDUCATIVO CLAREN LEHMAN,LOS TRES OJOS ( VILLA DUARTE ),1686 1779 2039 2202 2295
SANTO DOMINGO ESTE,2,COLEGIO VICTOR MANUEL,LUCERNA,1687 1741 1780 1838 1879 1925 2006 2133 2158 2203 2226 2296 2341 2360
SANTO DOMINGO ESTE,3,ESCUELA JOHN F. KENNEDY,PROY. JOHN F. KENNEDY EL TAMARINDO,1723 1781 1880 2004 2078 2184 2227 2320
SANTO DOMINGO ESTE,3,ESCUELA BASICA FRAY BARTOLOME DE LAS CASAS,SAN BARTOLO LOS FRAILES,1725 1743 1783 1882 1960 2050 2114 2185 2229
SANTO DOMINGO ESTE,3,CLUB DEPORTIVO SAN JOSE DE MENDOZA,San Jose de Mendoza,1708 1745 1785 1927 1961 2040 2068 2161 2204 2230 2298
SANTO DOMINGO ESTE,2,GUARDERIA INFANTIL MADRE PETRA UREÑA,LOS PRADOS DEL CACHON,1705 1754 1788 1928 2000 2087 2162 2232 2343
SANTO DOMINGO ESTE,2,ESCUELA PRIM. SANTO CRISTO DE LOS MILAGROS,Vietnam ( San Lorenzo de Los Minas ),1704 1790 1999
SANTO DOMINGO ESTE,2,ESCUELA PRIMARIA SAN JOAQUIN,Vietnam ( San Lorenzo de Los Minas ),1703 1791 1962 2086
SANTO DOMINGO ESTE,1,ESCUELA BASICA DEMETRIO BETANCES,VILLA DUARTE,1040 1040A 1041 1041A 1574 1702 2020
SANTO DOMINGO ESTE,3,ESCUELA PDTE. ANTONIO GUZMAN FERNANDEZ,VILLA ESFUERZO EL ALMIRANTE,1729 1747 1797 1883 1929 2019 2123 2164 2233
SANTO DOMINGO ESTE,3,ESCUELA DE EDUCACION BASICA JAPON,VILLA LIBERACION EL TAMARINDO ,1730 1748 1763 1765 1812 1839 1884 1930 2018 2129 2165 2205 2258 2361
SANTO DOMINGO ESTE,1,CENTRO EDUCATIVO SANTA MARIA,VILLA FARO,0001 1749 1764 1798 2044 2092 2206 2300
SANTO DOMINGO ESTE,3,COLEGIO PROFESOR PEGUERO,LOS FRAILES II,1757 1793 1931 2012 2082 2234 2322
SANTO DOMINGO ESTE,3,MULTIUSO BRISAS DEL EDEN,BRISA DEL EDEN,1758 1840 1885 2138
SANTO DOMINGO ESTE,3,COLEGIO MARTIN LUTER KING,TROPICAL DEL ESTE LAS AMERICAS,1760 1886 1989 2088 2207 2344
SANTO DOMINGO ESTE,3,ESCUELA BASICA 24 DE ABRIL,BRISAS DEL ESTE,1801 1802 1803 2070 2136 2186 2208 2235 2301
SANTO DOMINGO ESTE,3,ESCUELA BASICA LA MILAGROSA,LAS CANCELAS LAS AMERICAS,1717 1808 1932 2071 2236
SANTO DOMINGO ESTE,1,CLUB EL BRISAL,EL BRISAL,1813 1895 1982 2107 2187 2302
SANTO DOMINGO ESTE,2,ESCUELA GUARDERIA DAMAS DIPLOMATICAS,LOS TRES BRAZOS ( SAN LORENZO DE LOS MINA ),1814 2209
SANTO DOMINGO ESTE,1,ESCUELA BASICA PIKI LORA,VALLE DEL ESTE LOS TRES OJOS,1815 1896 2015 2079 2188 2259
SANTO DOMINGO ESTE,1,ESCUELA ARGENTINA MATEO LARA,LOS TRINITARIOS,1821 1888 1889 1892 1893 1894 2016 2168 2238
SANTO DOMINGO ESTE,1,CLUB CALERO,CALERO,1026 1026A 1026B 1027 1027A 1028 1028A 1029 1029A
SANTO DOMINGO ESTE,1,ESCUELA BASICA SALOME UREÑA,LOS MAMEYES,1578 1579 1844 1900 1965 1988
SANTO DOMINGO ESTE,3,COLEGIO SABIDURIA,LOS EDUCADORES,1897 2134
SANTO DOMINGO ESTE,3,PATRONATO DE VIVIENDAS LOS MAESTROS,LOS MAESTROS,1898 2122 2260
SANTO DOMINGO ESTE,1,SALON MULTIUSO ISABELITA (LA CANCHA),ISABELITA,1070H 1070I 1070J 1070K 1070L 1070M 1389 1389A 1389B 1399C 1766 1933 1996
SANTO DOMINGO ESTE,1,POLITECNICO JOSE MARIA VELOZ,LOS MAMEYES,1065 1065A 1065B 1065C 1066 1066A 1330 1330A 1330B 1330C 1979
SANTO DOMINGO ESTE,3,ESCUELA PROF. JUAN BOSCH,LAS FLORES BRISAS DEL ESTE,1711 1750 1795 2072 2210
SANTO DOMINGO ESTE,3,SALON MULTIUSO EL DUARTE,JUAN PABLO DUARTE (CHARLES DE GAULLE),1934 2090 2211
SANTO DOMINGO ESTE,1,ESCUELA ERCILIA PEPIN,MANDINGA ADENTRO VILLA FARO,1935 2139
SANTO DOMINGO ESTE,3,ESCUELA LOS PALMEROS,KM 15 1/2 AUT. LAS AMERICAS,1939 2169 2261 2362
SANTO DOMINGO ESTE,1,SALON MULTIUSO BELLO CAMPO,BELLO CAMPO,1728 1746 1792 1940 2073 2170 2240 2346
SANTO DOMINGO ESTE,1,MULTIUSO URBANIZACION HAMARAP,VILLA FARO,1942 1977 2085 2305
SANTO DOMINGO ESTE,1,INSTITUTO POLITECNICO PROF. JUAN BOSCH,ESPERANZA VILLA FARO,1944 2083 2173 2243 2323
SANTO DOMINGO ESTE,3,CENTRO EDUCATIVO PROF. MIGUEL DADUS VALDEZ,BRISAS DEL ESTE,1945 2101 2244 2348
SANTO DOMINGO ESTE,3,COLEGIO EL SOL,RESIDENCIAL NANCY NADESHA,1968 2076 2174 2262 2349
SANTO DOMINGO ESTE,3,LOCAL HIPODROMO 5TO. CENTENARIO,JARDINES DEL 5TO. CENTENARIO,1969 2098 2191 2245
SANTO DOMINGO ESTE,3,ESCUELA PRIMARIA LA UNION,CIUDAD DEL ESTE,2074 2140 2192 2246 2324 2369
SANTO DOMINGO ESTE,3,LICEO LA UREÑA,LA UREÑA,2137 2214 2247 2325
SANTO DOMINGO ESTE,2,LOCAL NUEVO ESCUELA MANUEL TEJADA FLORENTINO,INVI LOS MINA,0874 0874A 0875 0875A 0876 0876A 0877 0877A 0878 0878A 0878B 0879 0879A 1548
SANTO DOMINGO ESTE,3,ESCUELA MANUEL B. TRONCOSO (NUEVO LOCAL),VILLA TROPICALIA EL TAMARINDO,1193 1193A 1193B 1193C 1193D 1193E 1193F 1193G 1193H 1193I 1194 1194A 1194B 1194C 1194D 1194E 1624 1624A 1624B 1625 1625A 1625B 1625C 1625D 1698 1753 1853 1904 1915 1997 2061 2175 2307
SANTO DOMINGO ESTE,3,ESCUELA PRIMARIA CONCEPCIÓN BONA,LOS SOLARES EL ALMIRANTE,2310
SANTO DOMINGO ESTE,3,ESCUELA PROFESOR JUAN BOSCH,CIUDAD JUAN BOSCH,2311 2370
SANTO DOMINGO ESTE,3,ESCUELA HERMANAS MIRABAL,CIUDAD JUAN BOSCH,2312 2371
SANTO DOMINGO ESTE,3,POLITÉCNICO FELIZ MARÍA RUIZ,LAS TORONJAS,2313
SANTO DOMINGO ESTE,3,ESCUELA PRIMARIA FRAY BARTOLOMÉ (NUEVO LOCAL),LOS FRAILES II,2314
SANTO DOMINGO ESTE,3,ESCUELA KELVIN OBRERO DE PAZ,LOS FRAILES II,2315 2372
SANTO DOMINGO ESTE,3,ESCUELA PRIMARIA MANUEL AURELIO TAVÁREZ JUSTO,BRISAS DEL ESTE,1800 1887 1938 1985 2316
SANTO DOMINGO ESTE,3,ESCUELA FRANCISCO DEL ROSARIO SÁNCHEZ,Prados Oriental,2317
SANTO DOMINGO ESTE,1,ESCUELA BASICA EL DESPERTAR (NUEVO LOCAL),LAS PALMAS ALMA ROSA,2326
SANTO DOMINGO ESTE,2,ESCUELA PRIMARIA JOSE RAFAEL DE LA ROSA HERNANDEZ,LOS TRES BRAZOS ( SAN LORENZO DE LOS MINA ),2327
SANTO DOMINGO ESTE,2,LICEO SANTO TOMAS DE AQUINO,LOS TRES BRAZOS ( SAN LORENZO DE LOS MINA ),1700 1735 1771 1870 1919 2014 2119 2153 2200 2255 2328
SANTO DOMINGO ESTE,3,POLITECNICO JUAN PABLO DUARTE Y DIEZ,COLINAS DEL ORIENTE VILLA LIBERACION,2329
SANTO DOMINGO ESTE,3,CENTRO EDUCATIVO PEDRO VARIARA,VILLA ESFUERZO EL ALMIRANTE,2330
SANTO DOMINGO ESTE,3,ESCUELA BASICA PROFESORA NELLY BIAGGI FE Y ALEGRIA,CIUDAD DEL ALMIRANTE,1756 1794 2069 2166 2331
SANTO DOMINGO ESTE,3,ESCUELA BASICA BELGICA ADELA MIRABAL,Invidorex,2332
SANTO DOMINGO ESTE,3,LICEO DON PEDRO MIR,LAS CANCELAS LAS AMERICAS,2333
SANTO DOMINGO ESTE,1,ESCUELA NILDA CELESTE NOVAS,LOS MAMEYES,1067 1067A 1067B 1575 1575A 1983 2334
SANTO DOMINGO ESTE,1,CENTRO EDUCATIVO CRISTIANO VISION,BRISAS DE MENDOZA,2350
SANTO DOMINGO ESTE,2,MULTIUSO RIVERA DEL OZAMA,RIVERA DEL OZAMA,2351
SANTO DOMINGO ESTE,2,MULTIUSO RESIDENCIAL DON OSCAR,DON OSCAR,2352
SANTO DOMINGO ESTE,3,LICEO PROFESOR RAFAEL NIN NIN,CANCINO ADENTRO,2353
SANTO DOMINGO ESTE,1,COLEGIO PARROQUIAL SAN JUAN EVANGELISTA,VILLA DUARTE,1049 1049A 1050 1050A 1810 2167
SANTO DOMINGO ESTE,3,ESCUELA CARMEN QUIDIELLO DE BOSCH-NUEVA EMMAN,NUEVO AMANECER,1759 1936 1963 2100 2189 2239 2345
SANTO DOMINGO ESTE,3,ESCUELA EUGENIO MARlA DE HOSTOS,PRADOS DE SAN LUIS,1809 1964 2125 2237
SANTO DOMINGO ESTE,3,ESCUELA JUAN PABLO DUARTE,RES. AMALIA,1941 2013 2115 2171 2212 2241 2304 2347
SANTO DOMINGO ESTE,3,ESCUELA MARlA CRISTINA DE LEÓN THEN,VILLA ESFUERZO EL ALMIRANTE,1722 1742 2005 2112 2159 2297
SANTO DOMINGO ESTE,3,ESCUELA RURAL RIVIERA DEL CARIBE,RIVIERA DEL CARIBE,1967 2213
SANTO DOMINGO ESTE,2,LICEO CELESTE ARGENTINA BELTRÉ MELO,CANCINO VIEJO,1623 1623A 1623B 1671 1671A 1671B 1951 2108 2272
SANTO DOMINGO ESTE,3,MULTIUSO LIC. HÉCTOR VALDEZ ALBIZU,RES. LA MONEDA AUTOPISTA SAN ISIDRO,1724 1782 1881 1926 1981 2128 2160 2228 2321 2342
SANTO DOMINGO ESTE,1,PARQUEO SUPERMERCADO HIPER UNO,ISABELITA,1336 1336A 1336B 1577 1577A 2130 2282
SANTO DOMINGO ESTE,2,CENTRO EDUCATIVO FEDERICO LLINAS,LOS MINA NUEVO,0926 0926A 0926B 0948 0948A 0949 0949A 0949B 2059
SANTO DOMINGO ESTE,2,ESCUELA PRIMARIA ANTONIA REYES,Vietnam ( San Lorenzo de Los Minas ),1313 1313A 1313B 1313C 2364
SANTO DOMINGO ESTE,1,TERMINAL DE AUTOBUSES DEL PARQUE DEL ESTE,RES. PARQUE DEL ESTE,1966 2190
SANTO DOMINGO ESTE,1,CLUB DEPORTIVO Y CULTURAL LOS MAMEYES,LOS MAMEYES,1069 1069A 1069B 1069C 1972
SANTO DOMINGO ESTE,0,ESCUELA INSTITUTO ELDA REYES MUÑOZ,SAN LUIS,1156 1156A 1157 1157A 1158 1158A 1159 1159A 1160 1160A 1161 1161A 1162 1162A 1163 1163A 1163B 1824 1849 1902 2045 2095 2354
SANTO DOMINGO ESTE,0,CENTRO EDUCATIVO INICIAL RAFAEL AMERICO HENRIQUEZ,SAN ISIDRO,1164 1164A 1165 1165A 1606 1805 1825 1850 1952 2027 2110 2250 2273
SANTO DOMINGO ESTE,0,ESCUELA BASICA MARIA DE LA CRUZ,EL CABRESTO,1119 1119A 2025
SANTO DOMINGO ESTE,0,ESCUELA MARIA MERCEDES GOMEZ,SAN LUIS LAS CASITAS,1937 1991 2080 2303 2368
SANTO DOMINGO ESTE,0,MULTIUSO NUEVO PARAISO,NUEVO PARAISO SAN ISIDRO,1943 1992 2172 2242 2306 2363
SANTO DOMINGO ESTE,0,CENTRO EDUCATIVO MANUEL LLANES,BATEY EL NARANJO,2308
SANTO DOMINGO ESTE,0,ESCUELA PRIMARIA SAN ISIDRO LABRADOR,VILLA FELICIA SAN ISIDRO,1166 1166A 1166B 1166C 1167 1167A 1168 1168A 1168B 1168C 1168D 1709 1744 1784 2023 2132 2196 2251 2309
SANTO DOMINGO ESTE,0,INSTITUTO TECNOLÓGICO SUPERIOR COMUNITARIO,SAN LUIS,2355
SANTO DOMINGO ESTE,0,ESCUELA CALIXTA ESTHELA REYES,SAN LUIS,1706 1726 1786 1787 2017 2121 2231 2299 2373
